ASV,EG
002debf9610bf01ae0639f4838f5b6c8,I
0125686f910f7e207680201bd5d07275,I
01b002fe1d88ea9daf275dcd3f7aa51d,I
020b4fa62a3600229f3fa7c5283ea2d0,I
02bf3418b430959d006f8568dbbd150a,I
0451f48dc394d441252e5a60e9674b9e,I
0481303b0cf4ad24cb0bb2501bc1aa27,I
056312304c8e1c71a53a6036199fbc43,I
062a03be36ae46f64fa0f61dbc1e3aed,I
080e82c9b653331d09ff53b072d28d2a,I
0888a7854000bf79aaef0132bd40ac01,I
089f32b1f86fcbdbf98e6f24f3984b09,I
0af1d1b6455e7121155cbb02ded39b18,I
0e07f50474999e4301f0ce64928fb16c,I
0f7451550bcd4eb3b1c6974787f9d2fd,I
0fbaeb4d06c624ccc2e496904252dfc7,I
1088ad6b93a6ae3e7c8f473f3554ef97,I
11fa16be012b4ec04504d4bf5568e207,I
154e925b2db18ea4245272ad8dd8ac86,I
1554a1ff448e4c81917965fdf3ea3164,I
15cbdbfee3b09c264925317b3ec96d5e,I
16fec96b48d06c88924e335bfe100e6a,I
1826acde20d31bc623e9ae3cd020a511,I
186dcb202dc9268647503a54ec25dfae,I
1e910b01fd77bce1550fe45fe92bc755,I
1f0b3a63154ea149436f43dd4eac5180,I
202139cc388880424f7d2c6b8f9d0c2c,I
225060c0f511e09319f0afb36c8dafae,I
22d06f78f269f9d1bb120e55f69df15a,I
2450a80568c1c02d0780138bd7683db4,I
24684defa04ccaffd0b5eee6d839ea9d,I
248890163b15d4510a8ecf85cdf3e242,I
24a9c64b0ea511aa4384a9c4b9a0ab9c,I
26763da1a3b23f4f66a68981a9ebbe19,I
279206473ec782c61853b1fabe8d865d,I
27a3861f1c97521ba26a35aedae1d6a1,I
2b85ab8b871c35f181aa19f268d157ff,I
2cf3d2c28867035527223513e65c1639,I
2d1232c1f473139e6f9e96501f273f0d,I
2e26c2ff7d485c989a5ae4278456f20d,I
2f52e0fd170076e0a2928b6a66c6f266,I
304c40547d9c56fa93a7aaa968ad1749,I
31173c583ed57dcb3d7d0db18a1da840,I
318ec27fcd6c87ef125da03cacb5e0a3,I
3576194c7d30b20bb2c440eab49d62bf,I
36799095d462345b2ef5ee5040a427ad,I
3a1b103e1867ba5e9e9176462946883a,I
3ab7253a9aee2ff5d73bab951b3c3df6,I
3bd2b70eb9fd1ab245cdaea9bd20318f,I
3c9ee867afdf740e33961e30ad02e87f,I
3d81741b71b9cdb12e7b0fa73b71603f,I
3dbe4ab82662a2658e03b67b552e5bfc,I
3f766f17e5533d1aeebc39dc0dc64922,I
4008247a6fec4e302b724bbd97eeeedb,I
4128c0452c56a4317ae841e1f00074c1,I
42bd3b9fc8b08b6a7ee40074741d349e,I
42f15610f85f903640dadb52ddd85231,I
43b3d6db3fde56e705442835f6e6ac2c,I
44497f37fb38123c259c9c411014c085,I
4611e5ef9b0a09dd78a98ea7c8c9826d,I
48558f2d597e19ab4c7fec402a989323,I
48610d38ab21dbdd8da374fbbe92b98f,I
48debef6fc4ec71cd24db46eea6946ee,I
49d637cc7f62b4f6aec6b49d319f3a90,I
4ab0f62e55843c0b562226c5ef574f7f,I
4b6df9420c63586e56f3dab44b9a13a4,I
4cec49339836d6f579a57a726a8a6530,I
4d4e1a39e0369eaea6d475c4d6533ca8,I
4d6a69d336315f5848357e72ee27517a,I
50210071354833caabde43140d95ca6d,I
5209f086c6dc7d711b8bf376a7377754,I
5455114afa43933e1d1b98f05da130cf,I
572e3e57663197618f8735250113f1bf,I
575cf9880d3e6824929ad41410e2f3ae,I
583b1de4341b814ebad5286f0627e0f8,I
58854ff785dd18ed6336b2bf51cc351e,I
5905024c401df868e1fd8523c4308168,I
5a20a0f95cee58e511040a279e596013,I
5a27907e1f631a4af763e083a70767ff,I
5b74592583d503043637234d06a9be42,I
5ec59fad25d86a1623cfe1463797e53c,I
61a181d1a50e278d56e05df82cfae6b7,I
62a553bf8e561b989f56cb38b943b9ba,I
6317d2f60814fff4affeb76496d33dcc,I
6347889cfefe83068ba4edb4673d2a72,I
65eb0f1a9a285fc25da12fce63599707,I
669cc53ab87733314dcd38e7e3410de3,I
66bf2850b68540dbf502b4672810801f,I
66d9965636642502a144f53823dc129a,I
6a1711a80939f151122babbd118d88bb,I
6c341fcb2d609cfdc8934e30d7b8a16d,I
6c38ca5de6266b5fa0135836eacf4d4e,I
6de5db1ccd3885f65eb6739316f4f923,I
6deb3c73b9f2dc74e843cddb18f87b38,I
6e327c7efbfd582978ce6ed7c3745dbc,I
706054c13815d97d0f7f77f7980caf2c,I
758d7acc59b6faecfad99c1443a91b0b,I
76258a38a13100427909fe6b62531afe,I
765f37185057fc4ea270153c93362d9a,I
767e7afcc6afb1a58439629202c249f7,I
7726fc53e6cd825bd48b24501c877569,I
7b1df45fe454196f6a6a6e63c72729e7,I
7b76a83508702bfa60479089089eac95,I
7b96df79daf7a52d0a05e8400ab3c9fa,I
7ba028402bdf8b056edd75043e6e39ab,I
7c31c8735ca85bc3e3f4bf12fac5ee2b,I
7ce745fce13d82cab8c4009cc1f2306c,I
7dcc1872dc8ad8cf7ae99865128df81b,I
7e4355ec889b9ff5b396b5cb6053b5d5,I
