SampleID,percent_assigned,I,II,IV,V,VI,bMBI
P1-1,0.008771929824561403,50,50,0,0,0,2.3786356499999997
P1-10,0.0064516129032258064,0,0,100,0,0,3.8874496
P1-11,0.01282051282051282,25,0,25,50,0,4.7161934
P1-12,0.006711409395973154,0,0,50,50,0,5.26646185
P1-13,0.011049723756906077,0,0,50,50,0,5.26646185
P1-14,0.01607717041800643,0,0,60,40,0,4.9906594
P1-15,0.01090909090909091,0,0,66.66666666666666,33.33333333333333,0,4.806791099999999
P1-16,0.022284122562674095,0,12.5,37.5,37.5,12.5,5.396208325
P1-17,0.01098901098901099,0,0,100,0,0,3.8874496
P1-18,0.00816326530612245,0,0,50,50,0,5.26646185
P1-19,0.012605042016806723,66.66666666666666,33.33333333333333,0,0,0,2.1478823666666664
P1-2,0.019672131147540985,33.33333333333333,33.33333333333333,16.666666666666664,16.666666666666664,0,3.3412443833333327
P1-20,0.008583690987124463,0,0,100,0,0,3.8874496
P1-22,0.026415094339622643,0,14.285714285714285,42.857142857142854,28.57142857142857,14.285714285714285,5.217741785714286
P1-23,0.019801980198019802,0,16.666666666666664,50,33.33333333333333,0,4.67069875
P1-24,0.01593625498007968,0,0,25,50,25,6.41959945
P1-25,0.011940298507462687,0,25,50,25,0,4.3728172
P1-26,0.014134275618374558,75,0,25,0,0,2.23664425
P1-27,0.007017543859649123,50,50,0,0,0,2.3786356499999997
P1-28,0.0034482758620689655,100,0,0,0,0,1.6863758
P1-29,0.017482517482517484,0,0,60,40,0,4.9906594
P1-3,0.00823045267489712,100,0,0,0,0,1.6863758
P1-30,0.020833333333333332,0,0,33.33333333333333,50,16.666666666666664,6.03522025
P1-31,0.015209125475285171,0,0,50,50,0,5.26646185
P1-32,0.007518796992481203,0,0,100,0,0,3.8874496
P1-33,0.02066115702479339,0,0,40,40,20,5.91316948
P1-34,0.012121212121212121,0,0,100,0,0,3.8874496
P1-35,0.016,0,0,50,50,0,5.26646185
P1-36,0.02262443438914027,0,0,40,60,0,5.542264299999999
P1-37,0.017857142857142856,0,0,33.33333333333333,66.66666666666666,0,5.726132599999999
P1-38,0.025477707006369428,0,0,50,50,0,5.26646185
P1-39,0.02531645569620253,0,0,50,50,0,5.26646185
P1-4,0.010714285714285714,33.33333333333333,33.33333333333333,0,33.33333333333333,0,3.8009151333333326
P1-40,0.027210884353741496,0,0,50,50,0,5.26646185
P1-41,0.018518518518518517,0,14.285714285714285,42.857142857142854,42.857142857142854,0,4.952809514285714
P1-42,0.027210884353741496,25,0,37.5,37.5,0,4.3714403375
